ID,categoryName,description
11111111-1111-1111-1111-111111111111,Electronics,Electronic devices and accessories
22222222-2222-2222-2222-222222222222,Computers,Laptops desktops and computer accessories
33333333-3333-3333-3333-333333333333,Mobile Devices,Smartphones tablets and mobile accessories
44444444-4444-4444-4444-444444444444,Office Equipment,Printers scanners and office equipment
55555555-5555-5555-5555-555555555555,Networking,Network devices routers switches and accessories
66666666-6666-6666-6666-666666666666,Audio Devices,Headphones speakers and audio accessories
77777777-7777-7777-7777-777777777777,Home Appliances,Household electrical appliances and equipment
88888888-8888-8888-8888-888888888888,Storage Devices,Hard drives SSDs USB drives and memory cards
99999999-9999-9999-9999-999999999999,Accessories,Cables chargers adapters and other accessories
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,Security Equipment,CCTV cameras security systems and related equipment
