ID,warehouseCode,warehouseName,location,status
a1b2c3d4-1111-4a2b-8c3d-000000000001,WH001,Chennai Central Warehouse,"Chennai, Tamil Nadu",Active
a1b2c3d4-1111-4a2b-8c3d-000000000002,WH002,Bengaluru North Warehouse,"Bengaluru, Karnataka",Active
a1b2c3d4-1111-4a2b-8c3d-000000000003,WH003,Mumbai Port Warehouse,"Mumbai, Maharashtra",Active
b3c4d5e6-2222-4c3d-9e4f-000000000201,WH004,Hyderabad Distribution Hub,"Hyderabad, Telangana",Active
b3c4d5e6-2222-4c3d-9e4f-000000000202,WH005,Pune Regional Warehouse,"Pune, Maharashtra",Active
b3c4d5e6-2222-4c3d-9e4f-000000000203,WH006,Kolkata East Warehouse,"Kolkata, West Bengal",Active
c4d5e6f7-3333-4d4e-af5a-000000000301,WH007,Delhi NCR Warehouse,"Gurugram, Haryana",Active
c4d5e6f7-3333-4d4e-af5a-000000000302,WH008,Ahmedabad Warehouse,"Ahmedabad, Gujarat",Inactive
c4d5e6f7-3333-4d4e-af5a-000000000303,WH009,Kochi Coastal Warehouse,"Kochi, Kerala",Active
d5e6f7a8-4444-4e5f-bf6a-000000000401,WH010,Lucknow North Warehouse,"Lucknow, Uttar Pradesh",Under Maintenance
